name,tags
The Binding of Isaac: Afterbirth,"Action Roguelike,Replay Value,Difficult,Indie,Great Soundtrack,Dungeon Crawler,Roguelike,Singleplayer,Action,Dark,Adventure,Roguelite,Pixel Graphics,Gore,Survival,Co-op,2D,Atmospheric,Procedural Generation,Horror,+"
DARK SOULS™: REMASTERED,"Souls-like,Dark Fantasy,RPG,Difficult,Action,Dark,Fantasy,Atmospheric,Action RPG,Great Soundtrack,Lore-Rich,Adventure,Multiplayer,Third Person,Replay Value,Story Rich,Exploration,Character Customization,Soundtrack,Co-op,+"
Beholder 3,"Simulation,Political Sim,Strategy,Dystopian,Point & Click,Choose Your Own Adventure,2D,Dark,Atmospheric,Isometric,Management,Political,Dark Humor,Story Rich,LGBTQ+,Nonlinear,Multiple Endings,Choices Matter,Singleplayer,Indie,+"
Stick Fight: The Game,"Multiplayer,Funny,Fighting,Action,Local Multiplayer,2D Fighter,4 Player Local,PvP,2D,Casual,Physics,Online Co-Op,Shooter,Local Co-Op,Indie,Controller,Co-op,Great Soundtrack,Split Screen,Strategy,+"
Bloons TD 6,"Tower Defense,Strategy,Multiplayer,Singleplayer,Co-op,Online Co-Op,Family Friendly,Casual,3D,Cartoony,Sandbox,Great Soundtrack,Difficult,Funny,Cute,Survival,Action,Indie,2D,Adventure,+"
Inside the Backrooms,"Early Access,Horror,Multiplayer,Survival Horror,Puzzle,Psychological Horror,Adventure,Co-op,Online Co-Op,Exploration,First-Person,Atmospheric,FPS,3D,Dark,Mystery,Sci-fi,VR,Story Rich,PvE,+"
My Child Lebensborn Remastered,"Simulation,Life Sim,Story Rich,Emotional,Immersive Sim,Choices Matter,Indie,Singleplayer,+"
World War Z,"Zombies,Multiplayer,Online Co-Op,Action,Co-op,Singleplayer,Shooter,Third-Person Shooter,PvE,FPS,Survival Horror,Gun Customization,Character Customization,Post-apocalyptic,Gore,First-Person,Violent,Combat,Third Person,Class-Based,+"
Private Property,"Action,RPG,Shooter,FPS,3D,First-Person,VR,Dark Humor,Post-apocalyptic,Funny,Zombies,PvE,Combat,Team-Based,Singleplayer,Co-op,Online Co-Op,Multiplayer,Gore,Violent,+"
Train Sim World® 3,"Simulation,Trains,Driving,Realistic,Singleplayer,Transportation,First-Person,Relaxing,Physics,Family Friendly,Immersive Sim,Atmospheric,Multiplayer,Automobile Sim,Open World,Story Rich,Mature,Adventure,Psychological Horror,Survival Horror,+"
Disco Elysium - The Final Cut,"RPG,Story Rich,Choices Matter,Detective,Isometric,Atmospheric,Singleplayer,CRPG,Point & Click,Noir,Surreal,Indie,Adventure,Exploration,Funny,Visual Novel,Open World,Character Customization,Political,Sexual Content,+"
Grim Dawn - Forgotten Gods Expansion,"RPG,Adventure,Indie,Action,Hack and Slash,Gore,Loot,Violent,Action RPG,Multiplayer,Isometric,+"
Euro Truck Simulator 2 - Special Transport,"Simulation,Indie,Driving,Multiplayer,Open World,Singleplayer,Realistic,Difficult,+"
For The King,"RPG,Online Co-Op,Open World,Strategy,Roguelike,Turn-Based,Multiplayer,Co-op,Turn-Based Combat,Adventure,Tabletop,Roguelite,Turn-Based Strategy,Party-Based RPG,Board Game,Indie,Local Co-Op,Fantasy,Hex Grid,Strategy RPG,+"
Children of Morta: Ancient Spirits,"Action,Adventure,RPG,Indie,Roguelite,+"
Sifu,"Action,Beat 'em up,Martial Arts,Difficult,Third Person,Singleplayer,Crime,Souls-like,Swordplay,Blood,Indie,Dark,Action Roguelike,Dark Fantasy,War,Action RPG,Hack and Slash,Arcade,Action-Adventure,Fighting,+"
Counter-Strike Nexon: Studio,"Free to Play,FPS,Zombies,Sandbox,PvE,PvP,Shooter,Horror,Action,First-Person,Co-op,Multiplayer,Survival Horror,Online Co-Op,Funny,Dark,Mod,3D,Gore,Singleplayer,+"
DEATH STRANDING DIRECTOR'S CUT,"Story Rich,Open World,Walking Simulator,Atmospheric,Adventure,Action,Exploration,Singleplayer,Great Soundtrack,Third Person,Cinematic,Post-apocalyptic,Sci-fi,Action-Adventure,Horror,Relaxing,Combat,Multiplayer,Third-Person Shooter,Stealth,+"
Doomsday: Last Survivors,"Strategy,4X,Strategy RPG,Real Time Tactics,Wargame,Massively Multiplayer,2D,Zombies,Futuristic,Survival,Story Rich,RPG,Violent,Base Building,PvP,Co-op,+"
The Break-In,"Early Access,Simulation,VR,Stealth,Crime,Multiplayer,Online Co-Op,Heist,Action,Funny,Horror,Exploration,Platformer,3D Platformer,Immersive Sim,Physics,Co-op,First-Person,Action-Adventure,Co-op Campaign,+"
The Surge,"Souls-like,Action,RPG,Sci-fi,Difficult,Third Person,Singleplayer,Mechs,Violent,Hack and Slash,Robots,Open World,Exploration,Cyberpunk,Action RPG,Gore,Adventure,Horror,Futuristic,Atmospheric,+"
Portal 2,"Platformer,Puzzle,Dark Humor,First-Person,Story Rich,Puzzle Platformer,Funny,Female Protagonist,3D Platformer,Action-Adventure,Action,FPS,Co-op,Physics,Sci-fi,Level Editor,Science,Comedy,Atmospheric,Adventure,+"
Portal,"Puzzle,Puzzle Platformer,First-Person,3D Platformer,Singleplayer,Sci-fi,Comedy,Female Protagonist,Funny,Physics,Action,Story Rich,Classic,Platformer,Science,Atmospheric,FPS,Dark Humor,Short,Adventure,+"
Slime Rancher 2,"Early Access,Cute,Colorful,Relaxing,Open World,Singleplayer,First-Person,Adventure,Creature Collector,Simulation,Family Friendly,Casual,Female Protagonist,3D,Fantasy,Action-Adventure,Building,Multiplayer,FPS,Action,+"
Friends vs Friends,"Deckbuilding,First-Person,3D,Arena Shooter,Old School,PvP,Team-Based,Strategy,Platformer,Combat,FPS,Shooter,Multiplayer,Destruction,Action,Co-op,Online Co-Op,Indie,Retro,Voxel,+"
NEBULOUS: Fleet Command,"Strategy,Simulation,RTS,War,Tactical,Space,Grand Strategy,Sci-fi,Military,Action,4X,Sandbox,Singleplayer,Multiplayer,Co-op,Moddable,Historical,Real Time Tactics,Atmospheric,Early Access,+"
SUPERHOT VR,"VR,Shooter,Bullet Time,FPS,Puzzle,Time Manipulation,First-Person,Atmospheric,Cyberpunk,Cinematic,Action,Singleplayer,Sci-fi,Minimalist,Adventure,Artificial Intelligence,Hero Shooter,Combat,Retro,Old School,+"
Blackout Protocol,"Early Access,Top-Down Shooter,Action Roguelike,Online Co-Op,Zombies,Twin Stick Shooter,Roguelite,PvE,Shooter,Survival,Combat,Thriller,Supernatural,Underground,Dark,Co-op,Action,Roguelike,Atmospheric,Top-Down,+"
